Year,Year Code,Country Name,Country Code,"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]",Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Net migration [SM.POP.NETM]
2000,YR2000,Afghanistan,AFG,48.021,55.841,54.663,57.12,2.97505722281038,10090449,10689508,20779957,51.4414346478195,48.5585653521805,..
2000,YR2000,Africa Eastern and Southern,AFE,40.6241687528631,51.2761288844047,49.3624613658013,53.2911425288527,2.61227550562855,200985544,197127500,398113044,49.5154587702265,50.4845412297735,..
2000,YR2000,Africa Western and Central,AFW,43.0457721505683,49.2197138106225,48.1840359201739,50.2811403730684,2.70753222038968,133462296,133752248,267214544,50.054254531894,49.945745468106,..
2000,YR2000,Albania,ALB,16.436,73.955,71.216,76.953,-0.637356833943492,1525873,1563154,3089027,50.6034360993032,49.3965639006968,..
2000,YR2000,Algeria,DZA,19.554,70.64,69.253,72.08,1.35841747006607,15311139,15731099,31042238,50.6764331875814,49.3235668124186,..
2000,YR2000,American Samoa,ASM,..,..,..,..,1.33550063100072,..,..,57816,..,..,..
2000,YR2000,Andorra,AND,11.3,..,..,..,1.57527263657523,..,..,65390,..,..,..
2000,YR2000,Angola,AGO,48.15,46.522,44.466,48.736,3.27721534718274,8240458,8155019,16395477,49.7394433842943,50.2605566157057,..
2000,YR2000,Antigua and Barbuda,ATG,19.84,73.94,72.422,75.357,1.76934686581224,40297,35710,76007,46.9825147683766,53.0174852316234,..
2000,YR2000,Arab World,ARB,28.7091147250971,67.8005914484374,66.0262589644802,69.6999133461525,2.1528456160174,138369759,143974382,282344141,50.9925163968075,49.0074836031925,..
2000,YR2000,Argentina,ARG,19.499,73.576,70.128,76.982,1.10060813455916,18976071,17894725,36870796,48.5336009561605,51.4663990438395,..
2000,YR2000,Armenia,ARM,12.91,71.409,68.086,74.469,-0.630760587863762,1628677,1440920,3069597,46.9416669354316,53.0583330645684,..
2000,YR2000,Aruba,ABW,14.173,73.787,71.312,76.257,2.06484055952557,47019,43847,90866,48.2545726674444,51.7454273325556,..
2000,YR2000,Australia,AUS,13,79.2341463414634,76.6,82,1.19227232344832,9598862,9554138,19153000,49.8832473629953,50.1167526370047,..
2000,YR2000,Austria,AUT,9.8,78.1268292682927,75.2,81.2,0.240466652446524,4123171,3888395,8011566,48.5347632179145,51.4652367820855,..
2000,YR2000,Azerbaijan,AZE,14.5,66.763,63.625,69.891,0.821519963674211,4113396,3935204,8048600,48.8930278847921,51.1069721152079,..
2000,YR2000,"Bahamas, The",BHS,17.609,71.914,68.623,75.16,1.34504517193852,152870,145175,298045,48.7090875538929,51.2909124461071,..
2000,YR2000,Bahrain,BHR,21.722,74.44,73.669,75.43,4.31531427526575,283385,381225,664610,57.3607077835121,42.6392922164879,..
2000,YR2000,Bangladesh,BGD,27.493,65.447,64.963,65.992,1.95239046202205,62062864,65594998,127657862,51.3834377078946,48.6165622921054,..
2000,YR2000,Barbados,BRB,13.934,77.162,75.274,78.94,0.38969283548124,141059,130452,271511,48.0466721421968,51.9533278578032,..
2000,YR2000,Belarus,BLR,9.4,68.9121951219512,63.4,74.7,-0.471131334643547,5294875,4684735,9979610,46.9430646493717,53.0569353506283,..
2000,YR2000,Belgium,BEL,11.4,77.7219512195122,74.6,81,0.242517956221334,5231510,5019740,10251250,48.967102461903,51.032897538097,..
2000,YR2000,Belize,BLZ,29.868,68.847,66.225,71.762,3.42669284640959,122794,124516,247310,50.3481460515143,49.6518539484857,..
2000,YR2000,Benin,BEN,42.371,55.391,53.701,57.001,2.98386192934726,3483088,3382858,6865946,49.2700932981413,50.7299067018587,..
2000,YR2000,Bermuda,BMU,13.5,77.8853658536585,75.3,80.6,0.890208773614165,..,..,61833,..,..,..
2000,YR2000,Bhutan,BTN,27.066,60.884,60.635,61.116,2.24630884030973,288731,302283,591014,51.1465041437259,48.8534958562741,..
2000,YR2000,Bolivia,BOL,30.314,62.452,60.588,64.399,1.93350253396644,4183450,4234820,8418270,50.30511019485,49.69488980515,..
2000,YR2000,Bosnia and Herzegovina,BIH,10.983,74.403,71.744,76.881,0.208765696717053,1909565,1841611,3751176,49.0942307159142,50.9057692840858,..
2000,YR2000,Botswana,BWA,29.302,50.629,48.213,53.254,2.03308399053272,847900,795433,1643333,48.4036406498257,51.5963593501743,..
2000,YR2000,Brazil,BRA,20.119,70.116,66.421,74.003,1.42416744229362,88208705,86581634,174790339,49.5345649509839,50.4654350490161,..
2000,YR2000,British Virgin Islands,VGB,..,..,..,..,1.4229645886007,..,..,20313,..,..,..
2000,YR2000,Brunei Darussalam,BRN,22.679,72.809,71.692,74.135,2.10872565489642,164416,168750,333166,50.6504265141101,49.3495734858899,..
2000,YR2000,Bulgaria,BGR,9,71.6634146341463,68.2,75.3,-0.493896416633318,4188546,3981626,8170172,48.7336819142803,51.2663180857197,..
2000,YR2000,Burkina Faso,BFA,46.253,50.489,49.117,51.712,2.84200697417705,5906289,5701662,11607951,49.1185912139016,50.8814087860984,..
2000,YR2000,Burundi,BDI,42.993,49.091,47.555,50.582,1.76722887197616,3246943,3131928,6378871,49.0984689923969,50.9015310076031,..
2000,YR2000,Cabo Verde,CPV,27.608,68.583,65.35,71.439,1.81991603732516,222169,206009,428178,48.1129343403911,51.8870656596089,..
2000,YR2000,Cambodia,KHM,28.058,58.432,56.186,60.624,2.23601610974607,6247771,5907470,12155241,48.6001881822006,51.3998118177994,..
2000,YR2000,Cameroon,CMR,41.419,50.993,49.485,52.538,2.62105318012787,7791677,7722267,15513944,49.7762980193818,50.2237019806182,..
2000,YR2000,Canada,CAN,10.7,79.1365853658537,76.6,81.8,0.931281553452429,15485188,15200542,30685730,49.5361915059311,50.4638084940689,..
